type,imageFile,corrAns,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,thisRow.t,notes,delay.started,text.started,text.stopped,delay.stopped,TrialRoutine.started,trialimage.started,trial_resp.started,TrialRoutine.stopped,trial_resp.keys,TrialResp.corr,trial_resp.rt,trial_resp.duration,OutroRoutine.started,text_2.started,outro_resp.started,OutroRoutine.stopped,outro_resp.keys,outro_resp.rt,outro_resp.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.006543708994286135,0.011813041994173545,3.051043749997916,2.999656916996173,,,,,,,,,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/13.png,space,0,0,0,2,3.051043749997916,,,,,,3.016613749998214,3.051043749997916,3.051043749997916,4.508965166998678,None,0,,,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
nogo,stimuli/23.png,None,0,1,1,11,4.547385249999934,,,,,,4.510527249993174,4.547385249999934,4.547385249999934,4.775914666999597,space,0,0.1001334169995971,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/18.png,space,0,2,2,7,4.793846999993548,,,,,,4.7762412499942,4.793846999993548,4.793846999993548,5.917283374998078,space,1,1.1216097919968888,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
nogo,stimuli/21.png,None,0,3,3,9,5.961376458995801,,,,,,5.918848291999893,5.961376458995801,5.961376458995801,7.425758416997269,None,1,,,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/11.png,space,0,4,4,0,7.463074291998055,,,,,,7.426851459000318,7.463074291998055,7.463074291998055,7.893745499997749,space,1,0.42738933300279314,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/16.png,space,0,5,5,5,7.933451458993659,,,,,,7.895583166995493,7.933451458993659,7.933451458993659,8.616712999995798,space,1,0.6809798749964102,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/12.png,space,0,6,6,1,8.653156624997791,,,,,,8.618124958993576,8.653156624997791,8.653156624997791,9.360566749994177,space,1,0.6992799590007053,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/15.png,space,0,7,7,4,9.397314124995319,,,,,,9.3619378749936,9.397314124995319,9.397314124995319,10.533578167000087,space,1,1.1350782500012428,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/19.png,space,0,8,8,8,10.572722333999991,,,,,,10.534942416998092,10.572722333999991,10.572722333999991,11.116841584000213,space,1,0.5416682499999297,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
nogo,stimuli/22.png,None,0,9,9,10,11.153512291995867,,,,,,11.118363416993816,11.153512291995867,11.153512291995867,12.62563104199944,None,1,,,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
go,stimuli/14.png,space,0,10,10,3,12.661984083999414,,,,,,12.626699000000372,12.661984083999414,12.661984083999414,13.21691829199699,space,1,0.5503810000009253,None,,,,,,,,12,2025-06-20_11h43.49.904,GoNGo,2024.1.4,None,2025-06-20 11h43.58.519560 +0200,
