type,imageFile,corrAns,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,thisRow.t,notes,Intro.started,Intro_Text.started,IntroResp.started,Intro.stopped,IntroResp.keys,IntroResp.rt,IntroResp.duration,Delay.started,Nothing.started,Delay.stopped,Trial.started,TrialImage.started,TrialResp.started,Trial.stopped,TrialResp.keys,TrialResp.corr,TrialResp.rt,TrialResp.duration,Outro.started,OutroText.started,Outro.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,1.3627221000001555,1.382662900000014,1.382662900000014,8.598161700000219,space,7.202122600000166,None,,,,,,,,,,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
,,,,,,,,,,,,,,,,8.598270200000115,8.610149699999965,11.606791199999861,,,,,,,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/11.png,space,0,0,0,0,11.775598900000205,,,,,,,,,,,,11.648674200000187,11.775598900000205,11.775598900000205,13.11744090000002,None,0,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/12.png,space,0,1,1,1,13.164658099999997,,,,,,,,,,,,13.118694400000095,13.164658099999997,13.164658099999997,14.612714500000038,space,1,0.8192739000000984,0.11952789999986635,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/13.png,space,0,2,2,2,14.664522800000213,,,,,,,,,,,,14.614054300000134,14.664522800000213,14.664522800000213,16.17448710000008,space,1,0.3389079000003221,0.10987289999957284,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/18.png,space,0,3,3,7,16.260728499999914,,,,,,,,,,,,16.17717270000003,16.260728499999914,16.260728499999914,17.627985199999785,space,1,0.32410490000029313,0.11865919999991092,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/19.png,space,0,4,4,8,17.679639299999963,,,,,,,,,,,,17.629191699999865,17.679639299999963,17.679639299999963,19.139771799999835,space,1,0.3047618999999031,0.08880890000000363,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/15.png,space,0,5,5,4,19.18814710000015,,,,,,,,,,,,19.14104210000005,19.18814710000015,19.18814710000015,20.615593699999863,space,1,0.4951952000001256,0.13101030000007086,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/22.png,None,0,6,6,10,20.658574500000213,,,,,,,,,,,,20.616759300000012,20.658574500000213,20.658574500000213,22.10422840000001,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/16.png,space,0,7,7,5,22.14783230000012,,,,,,,,,,,,22.1051937000002,22.14783230000012,22.14783230000012,23.611966500000108,space,1,0.4153080000000955,0.11068070000010266,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/21.png,None,0,8,8,9,23.659886599999936,,,,,,,,,,,,23.613313199999993,23.659886599999936,23.659886599999936,25.11111720000008,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/14.png,space,0,9,9,3,25.153352799999993,,,,,,,,,,,,25.11199110000007,25.153352799999993,25.153352799999993,26.628465100000085,space,1,0.2697444999998879,0.09185029999980543,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/23.png,None,0,10,10,11,26.67208040000014,,,,,,,,,,,,26.629599599999892,26.67208040000014,26.67208040000014,28.113483000000087,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/17.png,space,0,11,11,6,28.15844900000002,,,,,,,,,,,,28.114372999999887,28.15844900000002,28.15844900000002,29.602975400000105,space,1,0.4552875999997923,0.12965010000016264,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/18.png,space,1,0,12,7,29.644678999999996,,,,,,,,,,,,29.604472500000156,29.644678999999996,29.644678999999996,31.123940500000117,space,1,0.5592324000003828,0.11968359999991662,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/23.png,None,1,1,13,11,31.167032299999846,,,,,,,,,,,,31.1250828000002,31.167032299999846,31.167032299999846,32.60507150000012,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/19.png,space,1,2,14,8,32.65113680000013,,,,,,,,,,,,32.60593749999998,32.65113680000013,32.65113680000013,34.118641800000205,space,1,0.2936256000002686,0.1296527999998034,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/13.png,space,1,3,15,2,34.16559999999981,,,,,,,,,,,,34.11985219999997,34.16559999999981,34.16559999999981,35.627225499999895,space,1,0.5192023999998128,0.16064730000016425,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/14.png,space,1,4,16,3,35.669457299999976,,,,,,,,,,,,35.62864099999979,35.669457299999976,35.669457299999976,37.1303941000001,space,1,0.5451468000001114,0.14965209999991202,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/22.png,None,1,5,17,10,37.174264400000084,,,,,,,,,,,,37.13191430000006,37.174264400000084,37.174264400000084,38.63058499999988,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/16.png,space,1,6,18,5,38.68399150000005,,,,,,,,,,,,38.631439899999805,38.68399150000005,38.68399150000005,40.13383169999997,space,1,0.4209254000002147,0.15057560000013837,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/21.png,None,1,7,19,9,40.1815689,,,,,,,,,,,,40.135201699999925,40.1815689,40.1815689,41.626029200000175,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/15.png,space,1,8,20,4,41.6625168999999,,,,,,,,,,,,41.626636999999846,41.6625168999999,41.6625168999999,43.107303899999806,space,1,0.2828282999998919,0.13901960000021063,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/12.png,space,1,9,21,1,43.1492717000001,,,,,,,,,,,,43.108468699999776,43.1492717000001,43.1492717000001,44.61512380000022,space,1,0.34615349999967293,0.16870930000004591,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/17.png,space,1,10,22,6,44.6605826,,,,,,,,,,,,44.61638069999981,44.6605826,44.6605826,46.13142509999989,space,1,0.38433359999999084,0.16023100000029444,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/11.png,space,1,11,23,0,46.172444299999825,,,,,,,,,,,,46.13254649999999,46.172444299999825,46.172444299999825,47.62194640000007,space,1,0.371676799999932,0.16061620000027688,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/19.png,space,2,0,24,8,47.66866179999988,,,,,,,,,,,,47.62324699999999,47.66866179999988,47.66866179999988,49.132218600000215,space,1,0.5057181999995919,0.170543500000349,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/17.png,space,2,1,25,6,49.17804370000022,,,,,,,,,,,,49.133494000000155,49.17804370000022,49.17804370000022,50.60784139999987,space,1,0.4267019999997501,0.16055679999999484,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/12.png,space,2,2,26,1,50.65033549999998,,,,,,,,,,,,50.6092878999998,50.65033549999998,50.65033549999998,52.099843800000144,space,1,0.5054851999998391,0.1382658000002266,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/22.png,None,2,3,27,10,52.14318689999982,,,,,,,,,,,,52.101102900000114,52.14318689999982,52.14318689999982,53.63503200000014,space,0,0.5117506000001413,0.1495468999996774,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/13.png,space,2,4,28,2,53.6810532999998,,,,,,,,,,,,53.636319000000185,53.6810532999998,53.6810532999998,55.104180799999995,space,1,0.5037489999999707,0.13977139999997235,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/23.png,None,2,5,29,11,55.14829959999997,,,,,,,,,,,,55.10535350000009,55.14829959999997,55.14829959999997,56.61585030000015,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/16.png,space,2,6,30,5,56.660372299999835,,,,,,,,,,,,56.61676549999993,56.660372299999835,56.660372299999835,58.123051699999905,space,1,0.2845465999998851,0.14956870000014533,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/15.png,space,2,7,31,4,58.17156429999977,,,,,,,,,,,,58.12510539999994,58.17156429999977,58.17156429999977,59.61607550000008,space,1,0.4945096999999805,0.14867850000018734,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/14.png,space,2,8,32,3,59.65985520000004,,,,,,,,,,,,59.61736819999987,59.65985520000004,59.65985520000004,61.11665270000003,space,1,0.4847364000002017,0.1396034999997937,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
go,stimuli/18.png,space,2,9,33,7,61.15853090000019,,,,,,,,,,,,61.117955300000176,61.15853090000019,61.15853090000019,62.63794370000005,space,1,0.5656458000003113,0.11066660000005868,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
nogo,stimuli/21.png,None,2,10,34,9,62.68427729999985,,,,,,,,,,,,62.63910729999998,62.68427729999985,62.68427729999985,64.10497919999989,None,1,,,,,,01,2025-06-13_09h01.16.716,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h01.30.016367 +0200,
