type,imageFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro.started,Infotext.started,Intro.stopped,Delay.started,text_2.started,Delay.stopped,Trial.started,image.started,trialResponse.started,Trial.stopped,trialResponse.keys,TrialResp.corr,trialResponse.rt,trialResponse.duration,Outro.started,OutroText.started,key_resp.started,OutroText.stopped,Outro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,expStart,
,,,,,,,,,0.03073299996322021,0.05022599996300414,4.0136879999772646,,,,,,,,,,,,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
,,,,,,,,,,,,4.0137258999748155,4.029839399969205,5.014077099971473,,,,,,,,,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
nogo,stimuli/21.png,None,0,0,0,9,5.139088099997025,,,,,,,,5.052829099993687,5.139088099997025,5.139088099997025,6.516263299970888,space,0,0.32834639999782667,0.1599788999883458,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/13.png,space,0,1,1,2,6.580636299971957,,,,,,,,6.537765799963381,6.580636299971957,6.580636299971957,8.017218399967533,space,1,0.40741059998981655,0.16917410003952682,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/12.png,space,0,2,2,1,8.075961299997289,,,,,,,,8.018472899973858,8.075961299997289,8.075961299997289,9.501497699995525,space,1,0.4320970000117086,0.14991390000795946,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/18.png,space,0,3,3,7,9.545384700002614,,,,,,,,9.50286700000288,9.545384700002614,9.545384700002614,11.002406599989627,space,1,0.31239879998611286,0.16062249999959022,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/14.png,space,0,4,4,3,11.063706499990076,,,,,,,,11.00348789995769,11.063706499990076,11.063706499990076,12.503579899959732,space,1,0.3147667999728583,0.13906120002502576,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/11.png,space,0,5,5,0,12.563857899978757,,,,,,,,12.505371199978981,12.563857899978757,12.563857899978757,14.00473589997273,space,1,0.3337951000430621,0.1693251999677159,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/16.png,space,0,6,6,5,14.070372499991208,,,,,,,,14.005957299959846,14.070372499991208,14.070372499991208,15.505528899957426,space,1,0.3280283000203781,0.17918649996863678,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
go,stimuli/17.png,space,0,7,7,6,15.566395599977113,,,,,,,,15.506754299975,15.566395599977113,15.566395599977113,17.00670969998464,space,1,0.3207692999858409,0.18090579996351153,,,,,,,,,1,2025-06-23_10h24.04.816,GoNogo-Task,2024.1.4,2025-06-23 10h24.22.776260 +0200,
